                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9177,                 3.2464,                 1.9639,                0.20048,                0.14462,                0.11243,                0.03657,                  2.366,                 4.5135,                 2.3788,                0.00028,                0.00028,                0.00028
                      2,                 1.8485,                 2.8917,                 1.9175,                0.03089,                0.17442,                0.01784,                 0.0062,                 2.3853,                 19.701,                 2.8478,             0.00057713,             0.00057713,             0.00057713
                      3,                 1.8698,                 2.3741,                 1.8765,                0.05098,                0.33617,                0.03573,                0.00972,                 2.7988,                 32.082,                 7.4665,             0.00087129,             0.00087129,             0.00087129
                      4,                 2.1558,                 2.4796,                 2.1726,                0.00267,                0.15349,                0.00171,                0.00052,                 3.7024,                    inf,                 62.198,              0.0011625,              0.0011625,              0.0011625
                      5,                  2.038,                 2.4636,                 2.0764,                0.00511,                0.26977,                0.00257,                 0.0006,                 4.4676,                    inf,                 79.321,              0.0014507,              0.0014507,              0.0014507
                      6,                 2.0637,                 2.4067,                  2.005,                0.00081,                0.12791,                0.00048,                0.00015,                    nan,                    nan,                    nan,              0.0017359,              0.0017359,              0.0017359
                      7,                 2.0612,                  2.331,                  2.024,                  0.001,                0.15349,                0.00058,                0.00021,                 4.1231,                    inf,                 138.01,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.0505,                 2.3857,                 2.0208,                  4e-05,                0.00698,                  2e-05,                  1e-05,                 3.7469,                    inf,                 185.35,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.9563,                 2.3434,                 2.0552,                0.00073,                0.11395,                0.00041,                0.00015,                 3.7771,                    inf,                 47.203,              0.0019307,              0.0019307,              0.0019307
                     10,                 2.2131,                 2.6172,                 2.2083,                0.03242,                0.03953,                0.00732,                0.00154,                 4.2687,                 4.1215,                 7.2253,              0.0019208,              0.0019208,              0.0019208
                     11,                 2.0341,                 2.3494,                 1.9885,                0.02073,                0.03953,                0.00476,                0.00178,                 3.0969,                 4.9418,                 3.8834,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.9508,                 2.2354,                 1.8945,                0.18662,                0.19302,                0.12663,                0.04475,                 2.7887,                  3.827,                 3.1258,               0.001901,               0.001901,               0.001901
                     13,                 1.9979,                 2.1387,                 1.9195,                0.25631,                0.21801,                0.14394,                0.04376,                 2.4235,                 4.8336,                 2.7345,              0.0018911,              0.0018911,              0.0018911
                     14,                 2.0341,                 2.3173,                 1.8993,                0.05765,                 0.3907,                0.04191,                0.01485,                 2.3024,                 11.051,                 2.4693,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.9636,                 2.1629,                 1.8902,                0.22314,                0.22558,                0.13077,                0.04621,                 2.6296,                 4.6652,                 2.9005,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.8851,                 2.1498,                 1.8499,                0.36003,                0.31923,                0.25928,                0.08431,                 2.2059,                 2.8825,                 2.2795,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.8549,                 2.0047,                 1.8049,                0.03627,                0.26744,                0.02263,                0.00754,                 2.6037,                 12.462,                 2.7314,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.9138,                 2.1357,                 1.8912,                0.04051,                0.30233,                0.02685,                0.00871,                 2.3344,                 13.162,                 2.3725,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.8498,                 2.0237,                 1.8134,                0.16688,                0.24269,                0.11258,                 0.0418,                 2.1359,                 5.5662,                  2.155,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.9372,                 1.9975,                 1.9584,                0.36013,                0.33488,                0.24708,                0.07692,                 2.3819,                 2.6077,                 2.4294,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.8483,                 1.9778,                 1.8547,                0.32904,                0.32326,                0.25186,                0.09254,                 2.3494,                 2.6465,                 2.5085,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.9103,                 2.1128,                 1.8997,                0.31524,                0.32119,                0.26791,                0.10346,                 2.0237,                 3.6016,                 2.0835,               0.001802,               0.001802,               0.001802
                     23,                 1.8571,                 2.0706,                 1.8381,                0.41601,                0.33256,                0.29604,                0.10749,                 2.0362,                 3.1456,                 2.0868,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.7621,                 1.9669,                 1.7971,                0.42557,                0.40317,                0.34591,                0.13437,                 1.9459,                 2.5422,                 1.9758,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.8366,                 1.9447,                 1.8531,                0.24293,                0.26047,                0.15019,                0.05571,                 2.2102,                  3.056,                 2.2428,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.7522,                 1.8896,                 1.7548,                0.09986,                0.22791,                0.05325,                0.01951,                 2.1909,                 5.1065,                 2.2084,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.7033,                  1.817,                 1.7448,                0.34095,                0.37657,                0.27592,                0.09852,                 1.9738,                 2.5579,                 2.0909,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.7858,                 1.9134,                 1.8065,                0.43799,                0.36067,                0.34141,                0.12449,                  1.943,                 2.4438,                 2.0215,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.7286,                  1.825,                 1.7313,                0.40202,                0.43721,                0.38159,                0.14597,                 2.0244,                 2.2103,                 2.0412,              0.0017327,              0.0017327,              0.0017327
                     30,                   1.77,                 1.8321,                 1.7611,                0.38741,                 0.3814,                0.34406,                0.13274,                 2.0536,                 2.4638,                 2.0887,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.7437,                 1.8658,                 1.7127,                0.37645,                0.37674,                0.31504,                0.10663,                 2.0948,                 2.7197,                 2.1275,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.7884,                 1.9301,                 1.7957,                 0.3723,                0.41628,                0.34962,                0.13536,                 2.0787,                 2.2227,                 2.0751,               0.001703,               0.001703,               0.001703
                     33,                 1.7027,                 1.8173,                 1.7205,                0.37095,                0.37907,                0.34025,                 0.1323,                 1.8993,                 2.2851,                 1.9421,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.7914,                 1.8911,                  1.841,                0.38366,                0.46323,                0.34848,                0.13246,                 2.0777,                 2.3744,                 2.0889,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.6525,                 1.7347,                 1.6372,                0.38426,                0.45349,                0.34593,                0.14177,                  1.904,                 2.2546,                  1.896,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.7302,                 1.7645,                 1.7834,                0.40692,                0.43023,                0.35438,                0.13772,                 2.0389,                 2.1681,                 2.0413,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.6352,                 1.6652,                 1.6498,                0.34046,                0.41163,                0.28832,                0.10626,                 2.0238,                 2.3144,                 2.0154,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.7199,                 1.7983,                 1.7445,                0.43311,                0.38734,                 0.3609,                 0.1392,                 1.9133,                 2.2271,                 1.9645,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.6584,                 1.9377,                 1.6667,                0.46751,                0.45814,                0.42116,                0.17053,                  1.877,                 2.4606,                 1.8992,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.5657,                 1.6928,                 1.6335,                0.40002,                0.44655,                0.37098,                0.14202,                 1.9671,                 2.4902,                 1.9781,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.6568,                 1.7428,                 1.6966,                0.45019,                0.46463,                0.40629,                0.16713,                 1.8706,                 2.2426,                 1.9276,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.6584,                 1.7244,                 1.6772,                0.39152,                0.41395,                0.33879,                0.11843,                 1.9358,                 2.3828,                 1.9765,               0.001604,               0.001604,               0.001604
                     43,                 1.6375,                 1.9584,                 1.6338,                0.54864,                0.36047,                0.42674,                0.16427,                  1.909,                 2.0904,                 2.0031,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.5866,                 1.7353,                 1.6108,                 0.4455,                0.38372,                0.37503,                0.14521,                 1.9747,                 1.9694,                 2.0001,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.5987,                 1.6693,                 1.6177,                0.42219,                 0.4452,                0.39489,                0.16115,                 1.9209,                 2.0021,                 1.9929,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.6356,                 1.7418,                 1.6655,                0.49234,                0.42558,                0.42976,                0.17152,                 1.8554,                 2.0076,                 1.9302,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.5792,                 1.6005,                 1.5791,                0.48209,                0.43721,                0.41718,                0.16478,                  1.905,                 1.9578,                 1.8996,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.4762,                 1.6093,                 1.5062,                0.51319,                0.47674,                0.47234,                  0.192,                 1.8861,                 1.8531,                  1.882,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.5615,                 1.6281,                 1.5878,                0.54968,                0.39302,                0.43466,                0.18222,                 1.9586,                 1.8273,                 1.9405,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.5383,                 1.4546,                  1.557,                0.48756,                0.40492,                0.41583,                0.16836,                  1.963,                 1.9448,                 1.9613,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.5418,                 1.4712,                 1.5454,                0.48104,                0.39302,                0.36855,                0.14535,                 2.0092,                 1.9944,                 1.9649,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.5337,                 1.4993,                 1.5556,                0.50152,                0.42818,                0.42537,                0.16322,                 1.9797,                 2.1171,                 1.9593,               0.001505,               0.001505,               0.001505
                     53,                 1.5061,                 1.4601,                 1.5282,                0.43222,                0.46279,                0.41463,                 0.1628,                 2.0579,                 2.0194,                  2.035,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.5088,                 1.4883,                 1.5299,                0.42184,                0.47674,                0.40526,                0.16025,                 2.0208,                 2.0551,                 1.9904,              0.0014852,              0.0014852,              0.0014852
                     55,                  1.443,                 1.5054,                 1.5044,                0.50154,                0.45161,                0.43201,                0.18315,                 1.9919,                 1.8862,                 2.0226,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.5927,                  1.561,                  1.608,                0.41238,                0.44719,                 0.3732,                0.14888,                 1.9532,                 2.0281,                 1.9792,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.4568,                 1.4895,                 1.5321,                0.45886,                0.46512,                0.43897,                0.18742,                 1.8936,                 1.8813,                 1.9052,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.5395,                 1.4802,                  1.669,                0.52958,                0.44507,                0.44233,                0.17777,                  2.091,                 1.8195,                  2.026,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.4659,                 1.4025,                 1.5061,                0.49776,                 0.4287,                0.43128,                0.18621,                 2.0637,                 1.9796,                 2.0464,              0.0014357,              0.0014357,              0.0014357
                     60,                  1.434,                 1.3981,                 1.5221,                0.49877,                0.37209,                0.36283,                0.15683,                 2.0958,                 2.2139,                 2.2171,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.4405,                 1.3458,                 1.4891,                0.49371,                0.40594,                 0.4019,                0.16615,                 2.0722,                 2.0392,                 2.1992,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.3966,                   1.36,                   1.49,                0.52513,                0.51395,                0.46274,                0.20251,                 1.9504,                  1.966,                 2.0151,               0.001406,               0.001406,               0.001406
                     63,                  1.466,                 1.3786,                 1.5335,                 0.4477,                0.49302,                0.44927,                0.18576,                 1.9134,                 1.9671,                 1.9662,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.4544,                 1.3623,                 1.4704,                0.50131,                0.43023,                0.40626,                0.17107,                 1.9628,                 1.9433,                  1.941,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.4685,                 1.4044,                 1.5052,                0.51417,                0.43953,                 0.4371,                  0.186,                 1.8662,                  1.833,                 1.9086,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.4437,                 1.3537,                 1.5096,                0.48137,                0.48837,                0.45348,                0.19167,                 1.9256,                 1.8591,                 1.9297,              0.0013664,              0.0013664,              0.0013664
